Name,Position,SS Number,Year,Party Number,Class,Label
Karl Heinz Hennemann,Kriminalassistent (from Grenzpolizei Eupen-Malmedy). Involved in Operation Karnival March 1945 which resulted in death of Dutch Border Guard Jozef Saive and Aachen Mayor Franz Oppenhoff. In 1949 Sentenced to 1 year in prison; on 22.09.1952 LG Aachen reduced to 8 months.,,,,3.3,Oberscharführer
Heinrich Heering,Born 29 July 1902 Reelkirchen. SS-Hscha. 12./LSSAH 01.41; SS-Ostuf. Nachsch.1 07.43;Ost IV.SS-Pz.Korps 11.44,50355,,,3.3,Oberscharführer
Frank Hermes,Born 29 August 1919. Anglo-German ethnic. Served in 8th Company  Totenkopf Infantry Regiment; and the Panzer and Grenadier Training Battalion of the LSSAH; (Also alleged to have been involved in the Shoah). In January 1946 sentenced to hang for high treason. Sentence commuted and served 7 years in prison until January 1953. Died 1987,,,,3.3,Oberscharführer
Georg Huber,Born 1914 Weigendorf. KZ Vught. sentenced to 15 years imprisonment 09.11.1948 in 's-Hertogenbosch released 04.09.1951,,,,3.3,Oberscharführer
Karl Heinrich Klaustermeyer,Born 22 February 1914. Involved in suppression of Warsaw Ghetto Uprising of 1943. 1965 sentenced to Life in prison. Pardoned 8 April 1976 because of terminal cancer; died 21 April 1976,,,,3.3,Oberscharführer
Hermann Michel,Born 23 April 1912. T-4; KZ Sobibor; Operation Reinhard-fate unknown-fled to Middle East? died 1984? [unconfirmed],,,,3.3,Oberscharführer
Rochus Misch,Born 29 July 1917. Hitler's telephone operator who in the last weeks of the war handled all of the direct communication in the Führerbunker. Died 5 September 2013,,1937,,3.3,Oberscharführer
Eric Muhsfeldt,Born 18 February 1913. Senior NCO of the Auschwitz Sonderkommando. Involved in Operation Harvest Festival. Hanged 28 January 1948,,,,3.3,Oberscharführer
Josef Oberhauser,Born 21 January 1915. Involved Action T-4 and Bełżec extermination camp In Belzec Trial sentenced to 4.5 years. died 22 November 1979,288.121,November 1935,,3.3,Oberscharführer
Johann Pauls,Born 9 February 1908; Executed 4 July 1946 for War Crimes,,1 April 1931,,3.3,Oberscharführer
Walter Quakernack,Born 9 July 1907; Executed 11 October 1946 for War Crimes,125266,1933,,3.3,Oberscharführer
Herbert Scherpe,Born 20 May 1907. Stationed at KZ Auschwitz. Arrested August 1961 and sentenced to four and a half years in prison for joint aid to the common murder and to the loss of civil honour rights to four years. He was released on 19 August 1965. He died 23 December 1997,,1931,,3.3,Oberscharführer
Paul Felsko,Assigned east Poland governorship. Died in soviet prison camp 15 April 1952.,,,,3.3,Oberscharführer
Josef Schillinger,Assigned KZ Auschwitz. Shot and killed by Franciszka Mann 23 October 1943.,,,,3.3,Oberscharführer
Karl Silberbauer,Born 21 June 1911. Vienna Gestapo;SD at the Hague; Arrested Anne Frank;postwar recruited by the Federal Intelligence Service (Germany) to infiltrate neo-Nazi and pro-soviet groups. Died 2 Sept 1972,,1943,,3.3,Oberscharführer
Martin Weiss,Born 21 February 1903 Karlsruhe. He was assigned to Einsatzkommando 3  part of Einsatzgruppe stationed in Bad Düben. In October 1941 he was assigned to work in the Office of the Commander of Security Police (Sicherheitsdienst or SD and Security Police (Sicherheitspolizei or Sipo) in Vilnius  Lithuania  then part of the Reichskommissariat Ostland. Was also de facto commander of the Vilna Ghetto. He was also the commander of the notorious Nazi-sponsored Ypatingasis būrys (Lithuanian special SD and German Security Police Squad)  which was largely responsible for the Ponary massacre where up to 100 000 Jews were shot to death.  In February 1950  a court in Würzburg found him guilty of war crimes and sentenced him to life imprisonment. In 1970  his sentence was suspended and revoked in 1977; died 1984,,1934,,3.3,Oberscharführer
Johannes Mittag,Born 5 March 1919. Joined Waffen SS  Verfuegungstruppe then Leibstandarte Adolf Hitler (LSSAH) 1939. Deployed mainly alongside Div. Nord in Karelia and Scandinavia. Prior part of Battles of Dunkirk  EKI  EKII  Sturmabzeichen Silber  Verwundenenabzeichen Schwarz. Died 6 August 2005.,3.3,Oberscharführer,,,
Heinz Auerswald,b.26 July 1908. In Ordnungspolizei held the rank of Oberwachtmeister – equivalent to Scharfuehrer. He was Kommissar für den jüdischen Wohnbezirk (Commissioner for the Jewish Residential District) in Warsaw Ghetto  Poland from April 1941 to November 1942. Postwar investigation stopped after he died 5 December 1970,216.399[citation needed],7 June 1933,4.830.479[citation needed],3.4,Scharführer
Heinrich Eicke,Camp administrator Maly Trostenets extermination camp. Fled to Argentina-all trace of him lost,,,,3.4,Scharführer
Erich Fuchs,Born 9 April 1902. Involved T-4 and KZ Sobibor. Fuchs was put on trial at the Bełżec Trial in Munich 1963–64  for which he was acquitted. Fuchs was rearrested and tried at the Sobibor Trial in Hagen. He was charged with participation in the mass murder of approximately 3 600 Jews. On 20 December 1966  Fuchs was found guilty of being an accessory to the mass murder of at least 79 000 Jews and sentenced to four years imprisonment. Fuchs was married for the sixth time during the trial. Fuchs died on 25 July 1980,,1934,,3.4,Scharführer
Josef Hirtreiter,Born 1 February 1909. KZ Treblina. Sentenced to life 1951. Released 1977. Died 27 November 1978,,,,3.4,Scharführer
Samuel Kunz,b.1922. Volksdeutsche who served in USSR army; captured and trained as a SS Guard at Trawniki SS training camp. Posted to KZ Belzec death camp. Arrested in Berlin Germany July 2010 charged with being involved aiding deaths of 430 000 Jews and personally killing 10; Died 18 November 2010 age 89 before trial could start.,,,,3.4,Scharführer
Erich Lachmann,Born 6 November 1909. Assigned KZSobibor. Tried for war Crimes 1965–1966 but acquitted on grounds of mental incompence. Died 23 January 1972,,,,3.4,Scharführer
Heinrich Freiherr von Stackelberg,Born 31 October 1905. Economics Professor. Died 12 October 1946,,1933,,3.4,Scharführer
Julius Benz,Born 28 March 1924. SS-Karstwehr Battalion KIA 19 February 1944,,,,3.5,Unterscharführer
Perry Broad,Born 25 April 1921. KZ Auschwitz personnel. Released in 1947  he again was arrested 12 years later  freed in December 1960 after the payment of DM 50 000 as surety and again arrested in November 1964 as a defendant in the Frankfurt Auschwitz Trials. He was found guilty of supervising selections at Birkenau  as well as of participating in interrogations  tortures and executions  and was sentenced to four years in prison in 1965. In 1979 in Wuppertal  Broad was among those interviewed and secretly filmed by Claude Lanzmann for Shoah  his Holocaust documentary released in 1985. Died 28 November 1993.,,1941,,3.5,Unterscharführer
Siert Bruins,Born 2 March 1921 in the Netherlands. 1943 became a German citizen. Killed a Dutchman Aldert Klaas Dijkema in September 1944. Member of Sipo in Delfzijl  the Netherlands  from 1944 to 1945. Lived in Germany which refused to extradite him to Netherlands. In 1980 sentenced to seven years for killing two Jewish brothers in April 1945. In 2013 age 92 tried in German Court for Dijkema killing. Died 28 September 2015.,,,,3.5,Unterscharführer
Rudolph Erler,Born 31 August 1904. 5 Company/SS Totenkopfsturmbann. KZ Auschwitz I. Killed in Auschwitz revolt 7 October 1944,,,,3.5,Unterscharführer
Willi Freese,Born 30 September 1921. 2 Company/SS Totenkopfsturmbann.KZ Auschwitz I. Killed in Auschwitz revolt 7 October 1944,,,,3.5,Unterscharführer
Oskar Gröning,Born 10 June 1921. Joined the SS in 1940. In Auschwitz from 1942 to 1944. Captured 1945 released 1947/1948. Tried at age 93 on 20 April 2015 charged with aiding in killing of 300 000 of 425 000 Hungarian Jews. Found guilty and sentenced to four years in prison. Died 9 March 2018.,,,,3.5,Unterscharführer
Reinhold Hanning,Born 28 December 1921. Joined the Waffen-SS at age 18. Served two years in Auschwitz. Tried at age 94 in June 2016 charged with being an accessory to killing of 170 000. Found guilty and sentenced to five years in prison. Died 30 May 2017,,1940,,3.5,Unterscharführer
Gerhard Hirsch,Born 13.07.1922. SS-Karstwehr Battalion KIA 19.02.1944,,,,3.5,Unterscharführer
Albert Hujar,Directed executions at Kraków-Płaszów concentration camp,,,,3.5,Unterscharführer
George Kettmann,Born 2 December 1898 in Amsterdam – died 10 February 1970 in Roosendaal,,,,3.5,Unterscharführer
Jozef Kindel,born 23.11.1912 in Köln. Sipo Groningen  died 05.08.1948 in prison Almelo (before his trial),,,,3.5,Unterscharführer
Mathias Kirmaier,Born 1920. SS-Karstwehr Battalion KIA 19.02.1944,,,,3.5,Unterscharführer
Josef Leitgeb ,Part of the Werewolf Operation Karnival in March 1945 which resulted in deaths of border guard Jozef Saive and Aachan Mayor Franz Oppenhoff. Killed by a landmine 27 March 1945.,,,,3.5,Unterscharführer
Franz Maierhofer,SS-Karstwehr Battalion KIA 18.02.1944,,,,3.5,Unterscharführer
August Miete,Born 01.11.1908. KZ Treblina. Tried 1965. Died in detention 25 July 1978,,,,3.5,Unterscharführer
Gustav Münzberger,Born 17.08.1903. KZ Treblina. Tried 1965  released 1971. Died 23 March 1977,321.758,1938,,3.5,Unterscharführer
Harald Nugiseks,born 22 October 1921. Member of Estonian Legion awarded Knight's Cross of the Iron Cross. Died 2 January 2014,,,,3.5,Unterscharführer
Pierre Paoli,b.31 December 1921; executed 15 June 1946,,,,3.5,Unterscharführer
Josef Purke,Born 28.02.1903. 1 Company/SS Totenkopfsturmbann.KZ Auschwitz I. Killed in Auschwitz revolt 7 October 1944,,,,3.5,Unterscharführer
Josef Riegler,b.5 July 1922; Guard KZ Mauthausen; executed 27 May 1947 Landsberg Prison,,,,3.5,Unterscharführer
Franz Schönhuber,Born 10 January 1923. Age 19 Waffen-SS member; later chairman of The Republicans political party.< Died 27 November 2005,,,,3.5,Unterscharführer
Herbert Schmidt,Born 04.04.1920. SS- Fallschirmjäger. Awards: Awarded Knight's Cross of the Iron Cross. Shot and killed by a French sniper while sitting beside his cousin and division commander  though thought to be a Runway from lack of belongings and the disappearance of his wife. KIA < June 16 1944,,,,3.5,Unterscharführer
Franz Suchomel,Born 3 December 1907. Treblinka  Tried 1965 and sentenced to 4 years in prison; died 18 December 1979,,,,3.5,Unterscharführer
Eugène Vaulot,born 1923 Paris. Served in 33rd Waffen Grenadier Division of the SS Charlemagne (1st French). Awarded Knight's Cross of the Iron Cross. Killed in action on 2 May 1945,,,,3.5,Unterscharführer
Ernst Zierke,Born 6 May 1905. involved in Action T4 Bełżec; Dorohucza; Sobibor Camp III. Acquitted in 1964 Belzec trial and released in 1965 Sobibor trial on health grounds. Died in 1972,,,,3.5,Unterscharführer
Gerhard Putsch,Investigator for SS Judge Georg Konrad Morgen. Disappeared while investigating corruption in the SS,,,,4,SS-Stabsscharführer
Professor Wolfgang Abel,Born 13 May 1905; Austrian anthropogolist and Nazi Germany's racial biologists. Vienna native. Died 1 November 1997,,1933–1945,,5,SS biologist
Hermann Paul Maximilian Abendroth,Born 19 January 1883; Leader of the Nazi Reichsmusikkammer. Died 29 May 1956,,1934–1945,,6,SS-Kapellmeister
